StudyID	Age-Min	Age-Max	MALE	FEMALE	Unknown	Other Gender	White/ Caucasian	European	Asian Korean	Asian	Black / African 	Black or African American 	African	African Barbedian	Indian/Native American	Native Hawaiian or Pacific Islander	American Indian or Alaska Native	Multiple Races	Hispanic	Non Hispanic	Other/ Unknown	Missing	Ashkenazi Jewish	French Canadian 	Polish 	Italian	"England,Ireland (2)"	Ireland 	Lebanese	"Irish, Italian"	"Germany [non Ashkenazi jewish],England ,Ireland "	Han_Chinese	Puerto Rican	Hawaiian	Mexican	British	Swiss	Spaniard	Portugese	French	Finnish	German	Russian	Ukrainian	Romanian	Hungarian	Czehs	Jewish	Israeli	Canadian	Dutch Canadian	American (USA)	European American	Mexican American	Peruvian	venezuelan	Cuban	Indian	Japanese	Chinese	Filipino	Middle Eastern	Arabic	Omani Arabic	Pakistani	Turkish	Amhara	Hamer
phs000251.v1.p1	18	81	71	22			1			1		1							1																																																	
phs000252.v2.p1	20	62	7	4			1					1								1																																																
phs000254.v1.p1	0	59	5641	4496																																																																
phs000255.v1.p1	17	79	56	60			1			1		1				1	1																																																			
phs000256.v2.p2	18	77		1039			1			1		1				1	1		1																																																	
phs000257.v2.p1	23	75	11	13																																																																
phs000258.v2.p1	20	79	212	387																																																																
phs000259.v2.p1	14	18	55				1												1	1													1																						1	1							1					
phs000260.v2.p1	50	80	35	7			1			1		1					1		1	1													1																																			
phs000261.v1.p1	22	53		34			1					1							1																																																	
phs000262.v2.p1			19	4																																																																
phs000263.v1.p1	13	80	40	54			1			1		1						1	1																																							1				1						
phs000264.v2.p1	0	16	114	69			1			1		1							1																																																	
phs000265.v3.p1	7	12	37	32															1	1																																																
phs000266.v2.p1	2	36	29	18			1			1		1				1			1	1																																																
phs000267.v1.p1			2533	1591																																																																
phs000268.v1.p1	5	90	86	98																																																																
phs000269.v1.p1	1	65	381	332	3																																																															
phs000272.v1.p1			1413	1080																																																																
phs000273.v1.p1			16	9																																																																
phs000001.v3.p1	60	88	1638	2124			3621			5		119				5			10	3740																																																
phs000003.v1.p1																																																																				
phs000004.v1.p1																																																																				
phs000005.v1.p1																																																																				
phs000006.v1.p1																																																																				
phs000007.v18.p7	5	19	122	802																																																																
phs000016.v2.p2	5	19	802	122				1																																																												
phs000017.v3.p1	18	53	559	552			1													1																																																
phs000018.v1.p1	19	84	841	984			1			1		1				1	1		1	1																																																
phs000019.v1.p1	4	200	672	723		4																																																														
phs000020.v2.p1	18	86	1291	2449		1		1																																																												
phs000021.v3.p2	1	86	981	421																																																																
phs000048.v1.p1																																																																				
phs000049.v1.p1																																																																				
phs000050.v1.p1																																																																				
phs000086.v2.p1																																																																				
phs000088.v1.p1	18	90	587	619			1			1		1				1	1		1	1																																																
phs000089.v3.p2	22	68	560	377			1												1	1																																																
phs000090.v1.p1																																																																				
phs000091.v2.p1	41	78					3368			17		30					14		37	3392																																																
phs000092.v1.p1	18	77	1882	2239		1													1	1																																																
phs000093.v2.p2			975	655																																																																
phs000094.v1.p1			4000	3507			1			1		1				1	1	1																																																		
phs000095.v2.p1	0	200	2754	2537			3980			43		348					14	34	74	4375																																																
phs000096.v4.p1	28	46																	1																																																	
phs000100.v3.p1																																																																				
phs000101.v3.p1																																																																				
phs000102.v1.p1	55	88	129	137			1					1							1	1																																																
phs000103.v1.p1			1093	975			1																																																													
phs000122.v1.p1																																																																				
phs000124.v2.p1	0	29	867	766		29	1												1	1													1		1																				1		1											
phs000125.v1.p1	17	77	1041	904			1			1		1					1		1	1																																																
phs000126.v1.p1	19	200	1032	1020			1			1		1				1			1	1																																																
phs000127.v2.p1			119	102																																																																
phs000128.v3.p3																																																																				
phs000130.v1.p1			973	990			1													1																												1																				
phs000138.v2.p1	20	50		1493			1												1																																																	
phs000139.v1.p1			1247	1755																																																																
phs000140.v1.p1	28	90	377	594								1																																																								
phs000141.v1.p1																																																																				
phs000142.v1.p1	5	90	556	2372				1		1			1			1																																										1										
phs000143.v1.p1	25	87	664	1316																															1																	1																
phs000144.v1.p1			165	216			1					1																																																								
phs000145.v2.p2	18	81	3078	2838		1																				1									1	1	1	1	1	1										1		1						1										
phs000147.v1.p1		69		2287																																																																
phs000153.v5.p5			6778	7753																																																																
phs000159.v4.p2	28	80	20	18			1												1	1																																																
phs000160.v1.p1																																																																				
phs000166.v2.p1	5	13	500	313			1					1							1																																																	
phs000167.v1.p1	18	84	2172	980				1				1																																																								
phs000168.v1.p1	46	112	3878	6562			1			1		1				1			1	1																																																
phs000169.v1.p1	68	80	1367	1435			1					1																																																								
phs000170.v1.p1	36	200	1634	2330			1			1		1					1		1	1																																																
phs000171.v1.p1	18	70	636	1284																																																																
phs000178.v6.p6			128	80																																																																
phs000179.v2.p2	44	81	11042	9686			1					1								1																																																
phs000180.v2.p2	4	85	2171	1895			1																																																													
phs000181.v1.p1	18	85	8525	8911																																																																
phs000182.v2.p1	43	89	2682	3998																																																																
phs000183.v1.p1																																																																				
phs000185.v1.p1																																																																				
phs000187.v1.p1	14	200	1814	1301			1																																																													
phs000188.v1.p1	53	90	1197	1824		119	1			1		1					1																																																			
phs000196.v2.p1	21	200	2131	1880			1													1																																																
phs000199.v1.p1			992	1104			1			1			1																																																							
phs000200.v7.p2	50	79	0	2139								1																																									1															
phs000201.v1.p1	18	81	49	37			1			1		1							1																																																	
phs000202.v1.p1			0	297			1													1																																																
phs000203.v1.p1	30	70	2072	1265		167	1			1		1					1																																																			
phs000204.v1.p1																																																																				
phs000419.v1.p1	23	23		1			1																																																													
phs000423.v1.p1			0	0																																																																
phs000424.v1.p1	22	69	38	24			1			1		1								1																																																
phs000425.v1.p1	16	79	1624	1285			1					1					1	1	1	1																																																
phs000426.v1.p1						673																																																														
phs000428.v1.p1			5119	7388								1																																																								
phs000431.v1.p1			1258	838																												1																																				
phs000433.v1.p1	12.96	89	2231	3635		96						1	1																																																							
phs000434.v1.p1			4	4			1																1					1										1		1	1	1									1																	
phs000435.v1.p1	41	81	56	34		1	1																																																													
phs000439.v1.p1	0.4932	89	1262	626			1			1		1					1	1	1																																																	
phs000440.v1.p1			416	565			1					1					1	1	1																																																	
phs000442.v1.p1	55	86	53	38																																																																
