New Gold standard 05/27/14	Phen ID	Gold Standard topics
 BERKMAN: HOW MANY RELATIVES DO YOU HAVE, PEOPLE THAT YOU FEEL AT EASE WITH, CAN TALK TO ABOUT PRIVATE MATTERS? 	phv00070670.v1 	 BERKMAN: HOW MANY RELATIVES DO YOU HAVE, PEOPLE THAT YOU FEEL AT EASE WITH, CAN TALK TO ABOUT PRIVATE MATTERS? 
Enjoy yourself	phv00054568.v1 	 Can you usually let yourself go and enjoy yourself at a lively party? (African American participants) 
Hopeful	phv00021279.v4 	 CES-D I FELT HOPEFUL ABOUT THE FUTURE 
 Delusions of thoughts or actions being controlled	phv00071384.v1 	 Delusions of thoughts or actions being controlled
 Did thinking about these ideas interfere with your life or work, or cause you difficulty with your relatives or friends, or upset you a great deal? 	phv00071624.v1 	 Did thinking about these ideas interfere with your life or work, or cause you difficulty with your relatives or friends, or upset you a great deal? 
 Did thinking about these ideas interfere with your life or work, or cause you difficulty with your relatives or friends, or upset you a great deal? 	phv00020398.v1 	 Did thinking about these ideas interfere with your life or work, or cause you difficulty with your relatives or friends, or upset you a great deal? 
tired	phv00020274.v1 	 Did you feel more tired out or low on energy than is usual for you? 
lively	phv00054575.v1 	 Do other people think of you as being very lively
 DO YOU FEEL THAT ANY DIFFICULTY WITH YOUR HEARING LIMITS OR HAMPERS YOUR PERSONAL OR SOCIAL LIFE ? 	phv00021865.v3 	 DO YOU FEEL THAT ANY DIFFICULTY WITH YOUR HEARING LIMITS OR HAMPERS YOUR PERSONAL OR SOCIAL LIFE ? 
 Does not follow through on instructions and fails to finish school work chores or duties in the workplace (not due to oppositional behaviour or failure to understand instruction) 	phv00011161.v2 	 Does not follow through on instructions and fails to finish school work chores or duties in the workplace (not due to oppositional behaviour or failure to understand instruction) 
 DURING PAST 4 WEEKS--HAS PHYSICAL/EMOTIONAL HEALTH INTERFERED WITH SOCIAL ACTIVITIES 	phv00085880.v2 	 DURING PAST 4 WEEKS--HAS PHYSICAL/EMOTIONAL HEALTH INTERFERED WITH SOCIAL ACTIVITIES 
 Feel have to do things/know don't really have to do - Severity of time wasted 	phv00088737.v1 	 Feel have to do things/know don't really have to do - Severity of time wasted 
 Felt effectively dealing w/important changes in life 	phv00088844.v1 	 Felt effectively dealing w/important changes in life 
 FELT EVERYTHING DONE WAS EFFORT 	phv00109150.v1 	 FELT EVERYTHING DONE WAS EFFORT 
 FELT EVERYTHING DONE WAS EFFORT 	phv00102332.v1 	 FELT EVERYTHING DONE WAS EFFORT 
 FELT I WAS AS GOOD AS OTHER PEOPLE, PAST WEEK 	phv00084731.v2 	 FELT I WAS AS GOOD AS OTHER PEOPLE, PAST WEEK 
 FELT I WAS AS GOOD AS OTHERS. Q 4 	phv00120307.v2 	 FELT I WAS AS GOOD AS OTHERS. Q 4 
 Felt unable to control important things in life 	phv00088841.v1 	 Felt unable to control important things in life 
	phv00013619.v1 	 Have there been times when you did things that other people thought were socially or sexually inappropriate, disorganized or objectionable? For example being too aggressive or doing things that did not make sense? 
 HOW DO YOU FEEL ABOUT LIFE AS A WHOLE 	phv00102283.v1 	 HOW DO YOU FEEL ABOUT LIFE AS A WHOLE 
