KWL fixed: New gold standard after discussion	Phen ID	Phen Description
bathing	phv00006704.v1 	 DURING THE COURSE OF A NORMAL DAY, CAN YOU DO THE FOLLOWING ACTIVITIES INDEPENDENTLY OR DO YOU NEED HUMAN ASSISTANCE OR THE USE OF A DEVICE (USE HIGHEST LEVEL OF DEPENDENCE): BATHING (INCLUDING GETTING IN AND OUT OF THE TUB OR SHOWER) 
bathing	phv00007156.v1 	 DURING THE COURSE OF A NORMAL DAY, CAN YOU DO THE FOLLOWING ACTIVITIES INDEPENDENTLY OR DO YOU NEED HUMAN ASSISTANCE OR THE USE OF A DEVICE? BATHING (INCLUDING GETTING IN AND OUT OF THE TUB OR SHOWER. DEVICE SUCH AS: BATH CHAIR, LONG HANDLED SPONGE, HANDLE HELD SHOWER, SAFETY BARS) 
bathing	phv00106741.v1 	 HAVE DIFFICULTY BATHING 
Bathing	phv00081135.v1 	 Bathing ability 
Bathing	phv00102414.v1 	 HAVE DIFFICULTY BATHING 
Bathing	phv00009599.v3 	 DURING THE COURSE OF A NORMAL DAY, HOW DO YOU CARRY OUT THE FOLLOWING ACTIVITIES: BATHING (INCLUDING GETTING IN AND OUT OF TUB OR SHOWER) 
Bathing	phv00103973.v1 	 HAVE DIFFICULTY BATHING 
Bathing	phv00005937.v1 	 ACTIVITIES OF DAILY LIVING-SELF REPORTED PERFORMANCE BATHING 
Bathing	phv00103518.v1 	 HOW HAS BATHING YOURSELF CHANGED 
Bathing	phv00108445.v1 	 HAVE DIFFICULTY BATHING 
Bathing	phv00103571.v1 	 HOW HAS BATHING YOURSELF CHANGED 
Bathing	phv00103776.v1 	 Because of health, do you have any difficulty bathing/taking a shower 
Bathing	phv00103725.v1 	 Because of health, do you have any difficulty bathing/taking a shower 
WASHING (05/20/14 CHANGE)	phv00088925.v1 	 Repeating same actions touching/washing 
Bathing	phv00005408.v1 	 ACTIVITIES D - IF YES (TO FO590), HOW MUCH DOES YOUR FEAR OF FALLING INTERFERE WITH BATHING? 
Bathing	phv00104658.v1 	 HAVE DIFFICULTY BATHING 
Bathing	phv00006359.v1 	 ACTIVITIES 1 - BATHING (INCLUDING GETTING IN AND OUT OF TUB AND SHOWER) SEE NOTE ABOVE 
Bathing	phv00105373.v1 	 HAVE DIFFICULTY BATHING 
Bathing	phv00103360.v1 	 CHANGE IN BATHING YOURSELF IN PAST 6 MO 
Bathing	phv00009141.v3 	 FUNCTIONAL PERFORMANCE (ADL)-BATHING 
Bathing	phv00005294.v1 	 DO YOU GET ASSISTANCE FROM ANOTHER PERSON TO DO THE FOLLOWING ACTIVITIES DURING A NORMAL DAY? - BATHING 
Bathing	phv00103622.v1 	 CHANGE IN BATHING YOURSELF IN PAST 6 MO 
Bathing	phv00103570.v1 	 CHANGE IN BATHING YOURSELF IN PAST 6 MO 
Bathing	phv00103675.v1 	 CHANGE IN BATHING YOURSELF IN PAST 6 MO 
Bathing	phv00103361.v1 	 HOW HAS BATHING YOURSELF CHANGED 
Bathing	phv00004119.v1 	 FUNCTIONAL PERFORMANCE: BATHING 
Bathing	phv00103623.v1 	 HOW HAS BATHING YOURSELF CHANGED 
Bathing	phv00159315.v1 	 What was the bathing self score on Barthel Stroke Questionnaire? 
Bathing	phv00103466.v1 	 HOW HAS BATHING YOURSELF CHANGED 
Bathing	phv00103465.v1 	 CHANGE IN BATHING YOURSELF IN PAST 6 MO 
Bathing	phv00110238.v1 	 HAVE DIFFICULTY BATHING 
Bathing	phv00103413.v1 	 HOW HAS BATHING YOURSELF CHANGED 
Bathing	phv00103412.v1 	 CHANGE IN BATHING YOURSELF IN PAST 6 MO 
Bathing	phv00099299.v1 	 HAVE DIFFICULTY BATHING 
Bathing	phv00070602.v1 	 DURING THE COURSE OF A NORMAL DAY, CAN YOU DO THE FOLLOWING ACTIVITIES INDEPENDENTLY OR DO YOU NEED HUMAN ASSISTANCE OR THE USE OF A DEVICE? --BATHING (INCLUDING GETTING IN AND OUT OF THE TUB OR SHOWER. DEVICE SUCH AS: BATH CHAIR, LONG HANDLED SPONGE, HANDLE HELD SHOWER, SAFETY BARS) 
Bathing	phv00103202.v1 	 CHANGE IN BATHING YOURSELF IN PAST 6 MO 
Bathing	phv00103256.v1 	 HOW HAS BATHING YOURSELF CHANGED 
Bathing; Dressing	phv00079102.v3 	 Bathing or dressing yourself 
Bathing; Dressing	phv00050282.v1 	 12. Health status: health limited bathing/dress yourself 
Bathing; Dressing	phv00169497.v1 	 Limited bathing or dressing yourself 
Bathing; Dressing	phv00111645.v3 	 Limited bathing or dressing yourself 
Bathing; Dressing	phv00028446.v1 	 Patient's health limits: bathing/dressing him-/herself 
