Gold Standard Topic for substance	Gold Standard Topic for Start; Last Use; Withdrawal; amount	PhenID	Phen Description
cannabis		phv00053630.v1 	 Cannabis Abuse/Depend Diagnostic Confidence. (African American participants). DIGS4. Page 1 
cannabis		phv00044579.v1 	 Cannabis Abuse/Dependence, age last dep., (Participants with European ancestry). DIGS4. Page1 
cannabis		phv00044577.v1 	 Cannabis Abuse/Dependence, Diagnostic Confidence, (Participants with European ancestry). DIGS4. Page1 
cocaine	withdrawal	phv00066426.v1	Withdrawal from cocaine
cocaine		phv00016040.v1 	 J51. Cocaine High in Sch/Work, (Participants with European ancestry). DIGS3 
cocaine		phv00016106.v1 	 J56. Cocaine 2 Sx's >= 1 Mth, (Participants with European ancestry). DIGS3 
cocaine		phv00018487.v1 	 J51. Cocaine.  (Participants with European ancestry). DIGS4 
cocaine		phv00052696.v1 	 J34a Cocaine, (African American participants). DIGS4 
cocaine		phv00052759.v1 	 J41 Cocaine, (African American participants). DIGS4 
cocaine		phv00114773.v2	DAYS USED COCAINE/CRACK: PAST 30 DAYS
cocaine		phv00032039.v1 	 Cocaine taken during pregnancy 
cocaine		phv00016030.v1 	 J50. Cocaine use Objections, (Participants with European ancestry). DIGS3 
cocaine	Start	phv00066445.v1	Age onset of DSM4 cocaine dependence
cocaine		phv00115781.v2	USED COCAINE, PAST 24 HOURS. Q 12
cocaine		phv00052799.v1 	 J48 Cocaine, (African American participants). DIGS4 
cocaine		phv00164988.v1	Cocaine Dependence
cocaine		phv00015930.v1 	 J41. Cocaine - Tried to Reduce, (Participants with European ancestry). DIGS3 
cocaine		phv00016081.v1 	 J53.f. Cocaine Cont'd After Prob, (Participants with European ancestry). DIGS3 
cocaine	Start	phv00015917.v1 	 J38.c. Age First Cocaine Use, (Participants with European ancestry). DIGS3 
cocaine		phv00119018.v2	EVER INJECTED COCAINE. Q 12
cocaine		phv00053634.v1	Cocaine Abuse/Depend Diagnostic Confidence. (African American participants). DIGS4. Page 1
cocaine		phv00018427.v1 	 J41. Cocaine.  (Participants with European ancestry). DIGS4 
cocaine		phv00015945.v1 	 J43.a. Cocaine - 50% More, (Participants with European ancestry). DIGS3 
cocaine		phv00162875.v1 	 Cocaine use despite knowledge of persistent or recurrent physical or psychological problems likely to have been caused or exacerbated by cocaine 
cocaine		phv00018406.v1 	 J38. Cocaine.  (Participants with European ancestry). DIGS4 
cocaine		phv00053635.v1 	 Cocaine Abuse/Depend AAO. (African American participants). DIGS4. Page 1 
cocaine	withdrawal	phv00015970.v1 	 J46.c. Cocaine W/D Tired, (Participants with European ancestry). DIGS3 
cocaine		phv00052743.v1 	 J39 Cocaine, (African American participants). DIGS4 
cocaine		phv00016056.v1 	 J53.a. Cocaine Use Depressed, (Participants with European ancestry). DIGS3 
cocaine		phv00016116.v1	J56.b. Cocaine Age Last 2 Sx's, (Participants with European ancestry). DIGS3
cocaine		phv00066428.v1 	 Persistent desire or unsuccessful efforts to cut down or control cocaine use 
cocaine		phv00052819.v1 	 J51 Cocaine, (African American participants). DIGS4 
cocaine		phv00118996.v2 	 EVER USED OTHER FORMS OF COCAINE. Q 6 
cocaine		phv00018492.v1 	 J51a. Cocaine.  (Participants with European ancestry). DIGS4 
cocaine	Amount	phv00066427.v1 	 Using cocaine in larger amounts or over longer period than intended 
cocaine		phv00052769.v1 	 J43 Cocaine, (African American participants). DIGS4 
cocaine		phv00120099.v2	EVER USED OTHER FORMS OF COCAINE. Q 5
cocaine		phv00117165.v2 	 EVER INJECTED COCAINE. Q 12 
cocaine	Last Use	phv00066446.v1	Age recency of DSM4 cocaine dependence
cocaine	Amount	phv00066427.v1	Using cocaine in larger amounts or over longer period than intended
cocaine		phv00066443.v1 	 Number of cocaine symptoms endorsed 
cocaine		phv00036128.v1 	 G30a. Cocaine.  (Participants with European ancestry). DIGS4 
cocaine	Amount	phv00114773.v2 	 DAYS USED COCAINE/CRACK: PAST 30 DAYS 
cocaine		phv00066443.v1 	 Number of cocaine symptoms endorsed 
cocaine	Amount	phv00114772.v2	TMS USED COCAINE/CRACK IN LIFE
cocaine	withdrawal	phv00015960.v1	J46.a. Cocaine W/D Depressed, (Participants with European ancestry). DIGS3
cocaine	Amount	phv00118998.v2 	 DAYS USED COCAINE: PAST 30 DAYS. Q 7 
cocaine		phv00018391.v1 	 J35. Cocaine.  (Participants with European ancestry). DIGS4 
cocaine	Amount	phv00117157.v2 	 TIMES USED OTHER FORMS OF COCAINE IN LIF. Q 6 
cocaine		phv00018447.v1 	 J45. Cocaine.  (Participants with European ancestry). DIGS4 
cocaine		phv00052841.v1 	 J53a Cocaine, (African American participants). DIGS4 
cocaine	withdrawal	phv00066426.v1	Withdrawal from cocaine
cocaine		phv00162883.v1 	 Number of cocaine symptoms endorsed 
cocaine		phv00015899.v1 	 J38.a. Ever Used Cocaine, (Participants with European ancestry). DIGS3 
cocaine		phv00012314.v1 	 G30. Were you using cocaine or other street drugs or were you drinking more than usual just before this episode began? CURRENT EPISODE (PAST MONTH). (Participants with European ancestry). DIGS2 
cocaine		phv00053636.v1 	 Cocaine Abuse/Depend Age last dep. (African American participants). DIGS4. Page 1 
cocaine		phv00018057.v1 	 G58a.  Cocaine.  (Participants with European ancestry). DIGS4 
cocaine		phv00016081.v1	J53.f. Cocaine Cont'd After Prob, (Participants with European ancestry). DIGS3
cocaine		phv00066443.v1 	 Number of cocaine symptoms endorsed 
cocaine	Amount	phv00118997.v2	TIMES USED OTHER FORM OF COCAINE IN LIFE. Q 6
cocaine		phv00066446.v1 	 Age recency of DSM4 cocaine dependence 
cocaine	Amount	phv00115768.v2	TIMES USED OTHER FORMS OF COCAINE IN LIF
cocaine	withdrawal	phv00015960.v1 	 J46.a. Cocaine W/D Depressed, (Participants with European ancestry). DIGS3 
cocaine		phv00066444.v1 	 DSM4 cocaine dependence 
cocaine		phv00044580.v1 	 Cocaine Abuse/Dependence, (Participants with European ancestry). DIGS4. Page1 
cocaine		phv00066443.v1	Number of cocaine symptoms endorsed
cocaine		phv00066431.v1 	 Cocaine use despite knowledge of persistent or recurrent physical or psychological problem likely to have been caused or exacerbated by cocaine 
cocaine		phv00016066.v1 	 J53.c. Cocaine Use Confused, (Participants with European ancestry). DIGS3 
cocaine		phv00016071.v1 	 J53.d. Cocaine Use Halns, (Participants with European ancestry). DIGS3 
cocaine		phv00052733.v1 	 J37 Cocaine, (African American participants). DIGS4 
cocaine		phv00015935.v1 	 J42. Cocaine - Could not Stop, (Participants with European ancestry). DIGS3 
heroin	Amount	phv00114778.v2 	 TIMES USED HEROIN IN LIFE 
heroin		phv00115783.v2 	 USED HEROIN, PAST 24 HOURS. Q 12 
heroin		phv00115773.v2 	 USED HEROIN IN LIFE. Q 9 
heroin		phv00119020.v2 	 EVER INJECTED HEROIN. Q 12 
heroin		phv00089106.v1 	 Heroin/lifetime 
heroin		phv00117167.v2 	 EVER INJECTED HEROIN. Q 12 
heroin	Amount	phv00119013.v2 	 TIMES USED HEROIN: PAST 30 DAYS. Q 11 
heroin		phv00117162.v2 	 USED HEROIN IN LIFE. Q 10 
