PhenID	StudyID	DataSetID	DataSet Name	PhenName	PhenDescription					PhenNorm	Theme	ThemePCN	ThemeCUI	ThemeSTT	TopicPCN	Topic CUI	Topic STT	SOI	SOI CUIs	SOI STT	Category
phv00124017.v1 	 phs000284.v1.p1 	 pht001902.v1 	 CFS_CARe_Subject_Phenotypes 	 ddimerstaram 	 STAR  D-Dimer AM  (ug/mL) 	 decimal 	 NONE 	0.02	3.82	 star ddimer am ug/m l 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00154661.v2 	 phs000335.v2.p2 	 pht002117.v2 	 LHS_COPD_Phenotypes 	 F061BSHR 	 F061. Breath shortness 	 encoded integer 	 NONE 	1	2	 f061   breath shortness 	 NULL 	 NULL 	 NULL 	 NULL 	 dyspnea 	 C0013404 	 sosy 	 study subject 	 C0681850 	 grup	Medical History
phv00024370.v3 	 phs000007.v18.p7 	 pht000193.v4 	 aldo1_6s 	 aldodate 	 DATE SAMPLE OBTAINED - NUMBER OF DAYS SINCE EXAM 1 	 NONE 	 DAYS 	 NONE 	 NONE 	 date sample obtained number of days since exam 1 	 NULL 	 NULL 	 NULL 	 NULL 	 date fruit;medical examination 	 C2348077;C0582103 	 food;hlca 	 study subject 	 C0681850 	 grup	
phv00113492.v2 	 phs000285.v2.p2 	 pht001577.v2 	 A4F14 	 A14SFRD 	" FOR HELP WHEN SICK, FRIEND. Q 3 "	 encoded 	 NONE 	 NONE 	 NONE 	 for help when sick  friend  q 3 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 friend 	 C0079382 	 popg	
phv00025530.v1 	 phs000086.v2.p1 	 pht000212.v1 	 DCCT_ms7exf10 	 QV36_R46 	 Object assembly: age-corrected scaled score (quarterly visit 36) 	 NONE 	 OBJECT ASSEMBLY SCORE  (AGE-CORRECTED) 	 NONE 	 NONE 	 object assembly  age corrected scaled score  quarterly visit 36 	 Age 	 age 	 C0001779 	 orga 	 peeling of skin;health care visit 	 C0237849;C1512346 	 fndg;inbe 	 study subject 	 C0681850 	 grup	Demographics Patient;Healthcare Encounter;Medical History
phv00079379.v3 	 phs000200.v8.p2 	 pht001010.v3 	 f42_rel1 	 PADPWDR 	 Ever used powder on a sanitary napkin 	 encoded value 	 NONE 	 NONE 	 NONE 	 ever used powder on a sanitary napkin 	 NULL 	 NULL 	 NULL 	 NULL 	 used by 	 C1273517 	 fndg 	 study subject 	 C0681850 	 grup	
phv00106544.v1 	 phs000287.v2.p1 	 pht001491.v1 	 YR5OLD 	 ANTSER06 	 OBSOLETE VARIABLE - N0W NTCA06 	 encoded 	 NONE 	 NONE 	 NONE 	 obsolete variable n0 w ntca06 	 NULL 	 NULL 	 NULL 	 NULL 	 node stage n0 	 C0441959 	 fndg 	 study subject 	 C0681850 	 grup	Medical History
phv00004146.v1 	 phs000007.v18.p7 	 pht000022.v4 	 ex0_20s 	 FM80 	 # MONTHS - STAYED IN HOUSE ALL OR MOST OF TIME 	 NONE 	 MONTHS 	 NONE 	 NONE 	 number months stayed in house all or most of time 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
phv00126174.v1 	 phs000286.v3.p1 	 pht001951.v1 	 DITA 	 DITA13 	 Alcohol (g) 	 decimal 	 g 	0	367.1661	 alcohol  gram 	 NULL 	 NULL 	 NULL 	 NULL 	 alcohols;alcohol measurement 	 C0001975;C0202304 	" orch,phsu;lbpr "	 study subject 	 C0681850 	 grup	Medication Patient;Lab Tests Patient;Drinking History
phv00127563.v1 	 phs000286.v3.p1 	 pht001956.v1 	 ELGA 	 ELGA25N 	 25n: Help scientists more than your people 	 encoded 	 NONE 	 NONE 	 NONE 	 25 n  help scientists more than your people 	 NULL 	 NULL 	 NULL 	 NULL 	  	  	  	 study subject 	 C0681850 	 grup	
