Test Category	Test  ID	Variable ID	Notes	Variable Description
1. Demographics	1_1_1	phv00167536.v1.p1	Race	Race [Caucasian]
	1_1_2	phv00164877.v1.p1	Race	Race of participant [Caucasian]
	1_1_3	phv00160387.v1.p1	Race	ESP, race [Caucasian]
	1_1_4	phv00122972.v1.p1	Race	Race - Caucasian (0=no,1=yes)
	1_1_5	phv00023940.v3.p2	Race	Race of subject (Caucasian)
	1_1_6	phv00081939.v1.p1	Race	Is the participant Caucasian?
	1_2_1	phv00022888.v1.p1	Gender	Participant's gender
	1_2_2	phv00169062.v3.p1	Gender	Gender
	1_2_3	phv00174111.v1.p1	Gender	GENDER OF PARTICIPANT
	1_2_4	phv00167790.v1.p1	Gender	Gender [Male or Female]
	1_2_5	phv00019965.v1.p1	Gender	Participant's gender - See also NIDDK - GoKinD phs000088: SEX
	1_2_6	phv00125546.v1.p1	Gender	GENDER OF PARTICIPANT (M,F) Q18
	1_3_1	phv00008423.v3.p7	age	MENOPAUSE: AGE PERIOD STOPPED
	1_3_2	phv00087184.v1.p3	age	AGE OF MENOPAUSE
	1_3_3	phv00172024.v1.p1	age	Age at menopause
	1_3_4	phv00094046.v1.p1	age	AGE WHEN MENOPAUSE BEGAN Q8
	1_3_5	phv00094332.v1.p1	age	AGE MENOPAUSE BEGAN Q19
	1_3_6	phv00100351.v1.p1	age	AGE AT MENOPAUSE
2. Medication	2_1_1	phv00054331.v2.p1		ACETAMINOPHEN (PILLS/DAY) (ALL PARTICIPANTS)
	2_1_2	phv00053985.v2.p1		CURRENTLY TAKING ACETAMINOPHEN/TYLENOL (ALL PARTICIPANTS)
	2_1_3	phv00009715.v3.p7		MEDICATIONS: ANALGESIC-NON-NARCOTICS (ACETAMINOPHEN, ETC)
	2_1_4	phv00054336.v2.p1		ACETAMINOPHEN (500 MG) (ALL PARTICIPANTS)
	2_1_5	phv00122908.v1.p1		Meds: Acetaminophen
	2_1_6	phv00123179.v1.p1		74 Last month have you used acetaminophen
