Variable ID	Variable Description
phv00020380.v1.p2	The next questions are about your use of drugs on your own. By \"on your own\" we mean either without a doctor's prescription, in larger amounts than prescribed, or for longer than prescribed. With this definition in mind, did you ever use any of the following drugs on your own? Marijuana or hashish?
phv00034216.v1.p1	Patient has a history of drug, alcohol orsubstance abuse
phv00113562.v2.p2	HOW MANY TIMES USED MARIJUANA IN LIFE. Q 1
phv00113565.v2.p2	DID SUBJECT USE MARIJUANA, PAST 24 HRS? Q 4
phv00115768.v2.p2	TIMES USED OTHER FORMS OF COCAINE IN LIF
phv00118645.v2.p2	EVER FORGET TO TAKE PILLS?
phv00162900.v1.p1	Persistent desire or unsuccessful efforts to cut down or control drugs other than marijuana, cocaine or opiates
phv00171275.v1.p1	Any lifetime use - cannabis
phv00010086.v4.p8	DID YOUR MOTHER EVER HAVE HIGH BLOOD PRESSURE
phv00128130.v1.p1	28b: Age of father when told had high blood pressure?
phv00004177.v1.p8	DURING THE PAST YEAR, HAVE YOU HAD PAIN OR STIFFNESS IN THE JOINTS?
phv00023150.v3.p8	WAIST CIRCUMFERENCE, MM
phv00055094.v3.p8	VISUAL ACUITY WITH "WALK-IN" CORRECTION, BY REFRACTOMETER IF POSSIBLE FIRST PART OF FORMULA: OD_VA1/OD_VA2 + OD_VA3, FINGER COUNTING = 9/400+0, HAND MOTION = 8/400+0, LIGHT PERCEPTION = 7/400+0, NO LIGHT PERCEPTION = 2/400+0
phv00072652.v3.p8	Baseline heart rate
phv00164574.v2.p8	Weight in kg. at baseline
phv00164583.v2.p8	Systolic blood pressure at baseline (avg. of 2 measurements), in mm Hg
phv00022406.v4.p8	WHICH PEOPLE HELP YOU WITH THE HOUSEWORK: CHILDREN?
phv00022409.v4.p8	DO YOU FIND IT DIFFICULT TO MANAGE THE HOUSEWORK YOURSELF?
phv00070695.v1.p8	DURING THE PAST YEAR, HOW OFTEN HAVE YOU PARTICIPATED IN THE FOLLOWING LEISURE TIME ACTIVITIES? --BABYSITTING
phv00072433.v3.p8	DURING THE PAST YEAR - DANCING - "MINUTES" PART OF AVERAGE TIME/SESSION
phv00113603.v2.p2	MONTHS BOWLING AT LEAST 3 HRS/WK. Q 4K3
phv00177751.v1.p8	Physical Activity Questionnaire-Technician administered: Did you usually do moderate to vigorous exercise at least 3 times a week? (this would include exercise that was long enough to work up a sweat and make your heart beat fast) - 18 years old
phv00002548.v1.p8	HEART EXAMINATION: MURMUR INCREASES ON VALSALVA
phv00022604.v1.p8	MAXIMUM MID EXPIRATORY FLOW RATE - TRIAL 1 (AVERAGE RATE OF FLOW DURING MIDDLE HALF OF AN FEV - IN MILLILITERS EXPIRED PER SECOND)
phv00065350.v2.p8	WHOLEBODY DORSAL BMD EX22 (GRAMS/CM2)
phv00071940.v1.p8	Test date of autopsy
phv00094242.v1.p1	ELECTROCARDIOGRAM Q9B
phv00101540.v1.p1	CORONARY ANGIOGRAPHY, HEART CATH.
phv00165468.v1.p1	Dental exam completed.
phv00024344.v1.p1	Mother reported any alcohol intake in the period between the 1st and 2nd interviews?
phv00066423.v1.p1	History of alcohol dependence in father(relaxed standard)
phv00088065.v1.p1	Did the mother regularly drink alcohol 3 months prior to pregnancy?
phv00088066.v1.p1	Did the mother regularly drink alcohol in the first 3 months of pregnancy?
phv00088067.v1.p1	Did the mother regularly drink alcohol in the perinatal period (3 months prior through 3rd month of pregnancy)?
phv00159991.v1.p1	Maternal alcohol use during pregnancy.
phv00007387.v1.p8	OTHER BEVERAGE: AVERAGE NUMBER OF OTHER BEVERAGE YOU DRINK PER MONTH OVER THE PAST YEAR
phv00020973.v4.p8	IF EVER CONSUMED ALCOHOL: DO YOUDRINK WHITE WINE AT LEAST ONCE A MONTH?
phv00020979.v4.p8	RED WINE: NUMBER OF RED WINE (4 OZ GLASS) YOU DRINK PER MONTH OVER THE PAST YEAR SEE NOTE BELOW
phv00056781.v2.p8	How many glasses of cola or other soda with caffeine do you drink on a typical day?
phv00072100.v3.p8	IN THE INTERIM, DID YOU DRINK BEER AT LEAST ONCE A MONTH?
phv00024346.v1.p1	Mother reported taking prenatal vitamins in the period between conception and the 2nd interview?
phv00024347.v1.p1	Mother reported taking prenatal vitamins in the period between the 2nd interview and delivery?
phv00164863.v1	Participant's mother took vitamins three months prior to pregnancy. 
phv00164864.v1	Participant's mother took vitamins first three months of pregnancy.
phv00164865.v1.p1	Participant's mother took vitamins in perinatal period (three months prior through third month of pregnancy).
phv00069953.v3.p8	FFQ: DARK MEAT FISH (3-5 OZ)
phv00158317.v1.p8	FFQ: CAFFEINATED FREE COKE, PEPSI, COLA W/ SUGAR
phv00162307.v3.p8	FFQ: FOOD FRIED AT HOME
phv00162316.v3.p8	FFQ: OTHER FOOD 1 SERVING SIZE
phv00172446.v1.p8	FFQ: How many teaspoons of sugar do you add to your beverages or food each day?
phv00000967.v1.p8	LIFETIME HISTORY OF DIABETES: DIABETES IN SIBLING, EXAM 7
phv00000968.v1.p8	LIFETIME HISTORY OF DIABETES: DIABETES IN CHILD, EXAM 7
phv00021770.v4.p8	RECORD OF PARTICIPATION IN HEARING STUDY - MOTHER -EXAM 18A
phv00021778.v4.p8	RECORD OF PARTICIPATION IN HEARING STUDY - FATHER -EXAM 22B
phv00160239.v1.p1	Mother had at least one prenatal care visit.
phv00005559.v1.p8	HOSPITALIZATION IN INTERIM
phv00006558.v1.p8	SYNCOPE HISTORY - ER/HOSPITALIZATION OR SAW M.D.
phv00023688.v7.p8	(4.H) IF YES (TO HU35): \"REASON\" PARTICIPANT WAS ADMITTED TO A HOSPITAL OR GONE TO AN EMERGENCY ROOM OR SEEN A PHYSICIAN SINCE LAST FHS EXAM OR UPDATE
phv00127584.v1.p1	5: Last doctor visit for rt. physical
phv00194650.v1.p1	General Probes hospitalization: Days in Hospital (2)
phv00010080.v4.p8	DID YOUR FATHER EVER HAVE HIGH BLOOD CHOLESTEROL (> 240 MG/DL)
phv00030081.v1.p1	Family member's attitude about blood glucose monitoring
phv00121811.v1.p1	Mother unblinded at OGTT [glucose above threshold]
phv00175947.v1.p3	FAMILY COHORT: MEAN: SEATED SYSTOLIC BLOOD PRESSURE (mmHg)
phv00175948.v1.p3	FAMILY COHORT: EXAM 1 FASTING GLUCOSE- CALIBRATED
phv00070730.v1.p8	LAB VALUES: GLUCOSE, MG/DL
phv00080756.v2.p8	Urine cortisol 24 hour total
phv00080797.v1.p8	BLOOD GLUCOSE AT EXAM 18
phv00142405.v3.p8	Trefoil Factor 3 (sample: urine)
phv00178336.v2.p8	Serum albumin OS=Homo sapiens (Gene Symbol = ALB) (sample type: plasma)
